"","classification_id","subject_ids","user_name","workflow_version","task_index","task","task_label","value","total_submissions","submission_index","choice","choice.1","Number","SnowDepth","Young","Antlers","Precipitation","behavior_CLIMBING","behavior_DIGGING","behavior_FLYING","behavior_FORAGINGEATING","behavior_INTERACTING","behavior_OTHER","behavior_SITTINGSTANDINGLYING","behavior_WALKINGRUNNING","subject_ids","ForestType","ForestName","Image1","Image2","Image3","Camera","SDCard","PhotoBatch","Class_Round"
"11","153664075",31428370,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""WEASEL"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"WEASEL",NA,"1","1020CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"31428370","Deciduous ","BC","11_13_BC_000169.JPG","11_13_BC_000170.JPG","11_13_BC_000171.JPG","11","13","1","1"
"12","153664190",31428827,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY",NA,"1","010CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"31428827","Deciduous ","SH","23_03_SH_0007.JPG","23_03_SH_0008.JPG","23_03_SH_0009.JPG","23","3","1","1"
"13","153664300",31428323,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"SQUIRRELGRAY",NA,"1","010CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"31428323","Deciduous ","BC","11_13_BC_000025.JPG","11_13_BC_000026.JPG","11_13_BC_000027.JPG","11","13","1","1"
"14","153664451",31428908,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""COYOTE"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"COYOTE",NA,"1","1020CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"31428908","Deciduous ","SH","25_09_SH_0042.JPG","25_09_SH_0043.JPG","25_09_SH_0044.JPG","25","9","1","1"
"15","153664512",31428660,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428660","Deciduous ","DON","21_21_DON_0054.JPG","21_21_DON_0055.JPG","21_21_DON_0056.JPG","21","21","1","1"
"16","153664638",31428847,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1",NA,"NO","NO","NO",0,0,0,0,0,0,0,1,"31428847","Deciduous ","SH","23_03_SH_0067.JPG","23_03_SH_0068.JPG","23_03_SH_0069.JPG","23","3","1","1"
"17","153664738",31428589,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1",NA,"NO","NO","NO",0,0,0,0,0,0,0,1,"31428589","Deciduous ","BC","17_24_BC_000181.JPG","17_24_BC_000182.JPG","17_24_BC_000183.JPG","17","24","1","1"
"18","153664857",31428715,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""YES"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","YES","NO",0,0,0,0,0,0,0,1,"31428715","Pine ","WF","22_18_WF_0040.JPG","22_18_WF_0041.JPG","22_18_WF_0042.JPG","22","18","1","1"
"19","153665062",31428782,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""2030CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","2030CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428782","Pine ","WF","22_18_WF_0244.JPG","22_18_WF_0245.JPG","22_18_WF_0246.JPG","22","18","1","1"
"20","153665215",31429052,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""3040CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","3040CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31429052","Pine ","DEG","29_19_DEG_0376.JPG","29_19_DEG_0377.JPG","29_19_DEG_0378.JPG","29","19","1","1"
"21","153665368",31429104,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""3040CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","3040CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31429104","Pine ","DEG","29_19_DEG_0532.JPG","29_19_DEG_0533.JPG","29_19_DEG_0534.JPG","29","19","1","1"
"22","153665498",31428602,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1",NA,"NO","NO","NO",0,0,0,0,0,0,0,1,"31428602","Deciduous ","BC","17_24_BC_000220.JPG","17_24_BC_000221.JPG","17_24_BC_000222.JPG","17","24","1","1"
"23","153665604",31428863,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1",NA,"NO",NA,"NO",0,0,0,0,0,0,0,1,"31428863","Deciduous ","SH","23_03_SH_0115.JPG","23_03_SH_0116.JPG","23_03_SH_0117.JPG","23","3","1","1"
"24","153665806",31428936,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""FISHER"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"FISHER",NA,"1","1020CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"31428936","Pine ","DEG","29_19_DEG_0007.JPG","29_19_DEG_0008.JPG","29_19_DEG_0009.JPG","29","19","1","1"
"25","153665867",31428545,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428545","Deciduous ","BC","17_24_BC_000049.JPG","17_24_BC_000050.JPG","17_24_BC_000051.JPG","17","24","1","1"
"26","153673833",31428403,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428403","Deciduous ","BC","11_13_BC_000268.JPG","11_13_BC_000269.JPG","11_13_BC_000270.JPG","11","13","1","1"
"27","153674901",31428512,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""50CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","50CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428512","Pine ","DEG","15_14_DEG_000193.JPG","15_14_DEG_000194.JPG","15_14_DEG_000195.JPG","15","14","1","1"
"28","153676289",31428462,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428462","Pine ","DEG","15_14_DEG_000037.JPG","15_14_DEG_000038.JPG","15_14_DEG_000039.JPG","15","14","1","1"
"29","153688458",31428582,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""SQUIRRELGRAY"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""FORAGINGEATING"", ""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"SQUIRRELGRAY",NA,"1","010CM","NO",NA,"NO",0,0,0,1,0,0,1,0,"31428582","Deciduous ","BC","17_24_BC_000160.JPG","17_24_BC_000161.JPG","17_24_BC_000162.JPG","17","24","1","1"
"30","153688690",31428702,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428702","Deciduous ","DON","21_21_DON_0180.JPG","21_21_DON_0181.JPG","21_21_DON_0182.JPG","21","21","1","1"
"31","153693411",31429160,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""2030CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","2030CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31429160","Pine ","WF","33_01_WF_0016.JPG","33_01_WF_0017.JPG","33_01_WF_0018.JPG","33","1","1","1"
"32","153693813",31429136,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,0,0,0,1,0,"31429136","Pine ","WHIP","32_17_WHIP_0019.JPG","32_17_WHIP_0020.JPG","32_17_WHIP_0021.JPG","32","17","1","1"
"33","153694029",31429077,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""SOMETHINGHERE"", answers = list(), filters = list()))",1,1,"SOMETHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31429077","Pine ","DEG","29_19_DEG_0451.JPG","29_19_DEG_0452.JPG","29_19_DEG_0453.JPG","29","19","1","1"
"34","153696933",31428717,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","1020CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428717","Pine ","WF","22_18_WF_0046.JPG","22_18_WF_0047.JPG","22_18_WF_0048.JPG","22","18","1","1"
"35","153697115",31429079,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","1020CM","NO","NO","NO",0,0,0,0,0,0,1,0,"31429079","Pine ","DEG","29_19_DEG_0457.JPG","29_19_DEG_0458.JPG","29_19_DEG_0459.JPG","29","19","1","1"
"36","153697944",31429179,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""2"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"", ""FORAGINGEATING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"2","1020CM","NO","NO","NO",0,0,0,1,0,0,1,0,"31429179","Pine ","WF","33_01_WF_0079.JPG","33_01_WF_0080.JPG","33_01_WF_0081.JPG","33","1","1","1"
"37","153700220",31428852,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""OTHERSMALLMAMMAL"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"OTHERSMALLMAMMAL",NA,"1","010CM","NO",NA,"NO",0,0,0,0,0,0,0,1,"31428852","Deciduous ","SH","23_03_SH_0082.JPG","23_03_SH_0083.JPG","23_03_SH_0084.JPG","23","3","1","1"
"38","153700462",31428841,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428841","Deciduous ","SH","23_03_SH_0049.JPG","23_03_SH_0050.JPG","23_03_SH_0051.JPG","23","3","1","1"
"39","153700682",31428728,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428728","Pine ","WF","22_18_WF_0079.JPG","22_18_WF_0080.JPG","22_18_WF_0081.JPG","22","18","1","1"
"40","153725618",31429182,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","1020CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31429182","Pine ","WF","33_01_WF_0088.JPG","33_01_WF_0089.JPG","33_01_WF_0090.JPG","33","1","1","1"
"41","153727507",31428890,"keandy16",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,0,0,0,1,0,"31428890","Deciduous ","BC","24_04_BC_0076.JPG","24_04_BC_0077.JPG","24_04_BC_0078.JPG","24","4","1","1"
"42","153728082",31428334,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428334","Deciduous ","BC","11_13_BC_000058.JPG","11_13_BC_000059.JPG","11_13_BC_000060.JPG","11","13","1","1"
"43","153728448",31429210,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31429210","Pine ","WF","33_01_WF_0178.JPG","33_01_WF_0179.JPG","33_01_WF_0180.JPG","33","1","1","1"
"44","153728716",31429202,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""FORAGINGEATING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,1,0,0,0,0,"31429202","Pine ","WF","33_01_WF_0154.JPG","33_01_WF_0155.JPG","33_01_WF_0156.JPG","33","1","1","1"
"45","153728958",31429003,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""010CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""SITTINGSTANDINGLYING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","010CM","NO","NO","NO",0,0,0,0,0,0,1,0,"31429003","Pine ","DEG","29_19_DEG_0229.JPG","29_19_DEG_0230.JPG","29_19_DEG_0231.JPG","29","19","1","1"
"46","153729255",31428441,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","1020CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428441","Deciduous ","DON","14_22_DON_000097.JPG","14_22_DON_000098.JPG","14_22_DON_000099.JPG","14","22","1","1"
"47","153729361",31428391,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""NOTHINGHERE"", answers = list(), filters = list()))",1,1,"NOTHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428391","Deciduous ","BC","11_13_BC_000232.JPG","11_13_BC_000233.JPG","11_13_BC_000234.JPG","11","13","1","1"
"48","153729514",31428854,"micheleroberge",123.17,1,"T0",NA,"list(list(choice = ""DEERWHITETAILED"", answers = list(HOWMANY = ""1"", SNOWDEPTH = ""1020CM"", YOUNGPRESENT = ""NO"", ANTLERSPRESENT = ""NO"", PRECIPITATIONRAINSNOW = ""NO"", WHATBEHAVIORSDOYOUSEE = list(""WALKINGRUNNING"")), filters = list()))",1,1,"DEERWHITETAILED",NA,"1","1020CM","NO","NO","NO",0,0,0,0,0,0,0,1,"31428854","Deciduous ","SH","23_03_SH_0088.JPG","23_03_SH_0089.JPG","23_03_SH_0090.JPG","23","3","1","1"
"49","153838529",31428988,"barthelmess",123.17,1,"T0",NA,"list(list(choice = ""SOMETHINGHERE"", answers = list(), filters = list()))",1,1,"SOMETHINGHERE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31428988","Pine ","DEG","29_19_DEG_0184.JPG","29_19_DEG_0185.JPG","29_19_DEG_0186.JPG","29","19","1","1"
